CMPLNT_FR_DT,CMPLNT_FR_TM,LAW_CAT_CD,BORO_NM,X_COORD_CD,Y_COORD_CD,Latitude,Longitude
6/1/2017,9:45:00,VIOLATION,MANHATTAN,"988,046","221,545",40.77477358,-73.98629598
6/1/2017,9:46:00,MISDEMEANOR,MANHATTAN,"998,811","229,459",40.79648422,-73.94741178
6/1/2017,9:49:00,MISDEMEANOR,MANHATTAN,"983,303","209,255",40.74104143,-74.00341886
6/1/2017,9:50:00,MISDEMEANOR,MANHATTAN,"998,495","229,943",40.79781318,-73.94855204
6/1/2017,9:55:00,MISDEMEANOR,MANHATTAN,"989,340","201,609",40.72005361,-73.98163908
6/1/2017,10:00:00,FELONY,MANHATTAN,"998,713","223,890",40.78119897,-73.94777772
6/1/2017,10:00:00,MISDEMEANOR,MANHATTAN,"982,018","202,668",40.72296149,-74.00805382
6/1/2017,10:00:00,VIOLATION,MANHATTAN,"1,002,584","248,715",40.84932946,-73.93373231
6/1/2017,10:00:00,MISDEMEANOR,MANHATTAN,"989,000","206,097",40.73237227,-73.98286248
6/1/2017,10:02:00,MISDEMEANOR,MANHATTAN,"986,618","207,098",40.73512073,-73.99145687
6/1/2017,10:08:00,MISDEMEANOR,MANHATTAN,"987,326","216,532",40.76101447,-73.98889784
6/1/2017,10:15:00,MISDEMEANOR,MANHATTAN,"987,086","201,237",40.71903357,-73.98977063
6/1/2017,10:20:00,MISDEMEANOR,MANHATTAN,"993,569","217,891",40.7647402,-73.96636025
6/1/2017,10:27:00,FELONY,MANHATTAN,"987,220","212,676",40.75043077,-73.98928218
6/1/2017,10:30:00,MISDEMEANOR,MANHATTAN,"1,001,002","240,937",40.82798425,-73.93946995
6/1/2017,10:37:00,VIOLATION,MANHATTAN,"996,345","230,977",40.80065444,-73.95631545
6/1/2017,10:45:00,MISDEMEANOR,MANHATTAN,"988,604","202,147",40.72153068,-73.98429388
6/1/2017,10:45:00,MISDEMEANOR,MANHATTAN,"993,822","218,347",40.76599153,-73.96544628
6/1/2017,10:49:00,MISDEMEANOR,MANHATTAN,"985,275","197,741",40.70943828,-73.99630431
6/1/2017,10:50:00,VIOLATION,MANHATTAN,"982,018","202,668",40.72296149,-74.00805382
6/1/2017,10:50:00,MISDEMEANOR,MANHATTAN,"983,607","200,301",40.71646491,-74.00232097
6/1/2017,11:00:00,MISDEMEANOR,MANHATTAN,"1,001,388","249,514",40.85152488,-73.93805326
6/1/2017,11:00:00,VIOLATION,MANHATTAN,"987,587","212,403",40.74968132,-73.98795774
6/1/2017,11:00:00,MISDEMEANOR,MANHATTAN,"990,769","208,776",40.73972434,-73.97647697
6/1/2017,11:00:00,VIOLATION,MANHATTAN,"985,366","212,065",40.74875416,-73.9959737
6/1/2017,11:00:00,MISDEMEANOR,MANHATTAN,"989,422","210,406",40.74419917,-73.9813365
6/1/2017,11:00:00,FELONY,MANHATTAN,"983,702","200,681",40.71750792,-74.0019783
6/1/2017,11:05:00,MISDEMEANOR,MANHATTAN,"987,521","201,066",40.71856407,-73.98820145
6/1/2017,11:11:00,MISDEMEANOR,MANHATTAN,"999,066","234,936",40.81151666,-73.94647872
6/1/2017,11:15:00,VIOLATION,MANHATTAN,"983,690","209,040",40.74045134,-74.00202229
6/1/2017,11:20:00,VIOLATION,MANHATTAN,"981,742","207,773",40.7369734,-74.00905145
6/1/2017,11:22:00,MISDEMEANOR,MANHATTAN,"983,058","204,423",40.72777874,-74.00430213
6/1/2017,11:23:00,MISDEMEANOR,MANHATTAN,"993,575","228,739",40.79451509,-73.96632353
6/1/2017,11:24:00,MISDEMEANOR,MANHATTAN,"999,066","234,936",40.81151666,-73.94647872
6/1/2017,11:25:00,MISDEMEANOR,MANHATTAN,"988,886","207,857",40.7372031,-73.9832726
6/1/2017,11:25:00,FELONY,MANHATTAN,"986,882","214,802",40.75626621,-73.99050125
6/1/2017,11:30:00,MISDEMEANOR,MANHATTAN,"994,009","232,273",40.80421449,-73.96475098
6/1/2017,11:43:00,MISDEMEANOR,MANHATTAN,"996,014","236,126",40.81478747,-73.95750197
6/1/2017,11:45:00,MISDEMEANOR,MANHATTAN,"985,504","216,029",40.75963431,-73.99547491
6/1/2017,12:00:00,MISDEMEANOR,MANHATTAN,"1,000,313","234,249",40.80962885,-73.94197558
6/1/2017,12:00:00,MISDEMEANOR,MANHATTAN,"1,000,313","234,249",40.80962885,-73.94197558
6/1/2017,12:00:00,MISDEMEANOR,MANHATTAN,"989,875","207,909",40.73734525,-73.97970378
6/1/2017,12:00:00,FELONY,MANHATTAN,"982,559","198,650",40.71193317,-74.00610105
6/1/2017,12:00:00,MISDEMEANOR,MANHATTAN,"982,586","199,953",40.7155096,-74.00600398
6/1/2017,12:05:00,MISDEMEANOR,MANHATTAN,"990,740","213,128",40.75166951,-73.97657742
6/1/2017,12:08:00,FELONY,MANHATTAN,"989,610","198,631",40.71187955,-73.98066741
6/1/2017,12:20:00,MISDEMEANOR,MANHATTAN,"997,194","223,387",40.77982072,-73.95326357
6/1/2017,12:29:00,MISDEMEANOR,MANHATTAN,"987,918","221,313",40.77413685,-73.98675826
6/1/2017,12:30:00,FELONY,MANHATTAN,"1,001,751","241,630",40.82988489,-73.93676171
6/1/2017,12:30:00,FELONY,MANHATTAN,"994,026","220,824",40.77279003,-73.96470623
6/1/2017,12:30:00,MISDEMEANOR,MANHATTAN,"988,958","209,044",40.74046108,-73.98301196
6/1/2017,12:50:00,MISDEMEANOR,MANHATTAN,"992,276","231,092",40.80097471,-73.97101215
6/1/2017,13:00:00,FELONY,MANHATTAN,"988,752","204,404",40.72772553,-73.98375844
6/1/2017,13:00:00,VIOLATION,MANHATTAN,"985,089","205,749",40.73141833,-73.99697421
6/1/2017,13:20:00,FELONY,MANHATTAN,"982,103","198,029",40.71022857,-74.00774569
6/1/2017,13:20:00,VIOLATION,MANHATTAN,"1,001,702","244,979",40.83907702,-73.93693006
6/1/2017,13:20:00,VIOLATION,MANHATTAN,"998,264","242,157",40.83133757,-73.94936086
6/1/2017,13:22:00,VIOLATION,MANHATTAN,"1,000,669","243,398",40.83473962,-73.94066718
6/1/2017,13:30:00,VIOLATION,MANHATTAN,"990,124","223,439",40.77997097,-73.97879171
6/1/2017,13:33:00,FELONY,MANHATTAN,"1,004,138","226,326",40.7878746,-73.92818165
6/1/2017,13:35:00,MISDEMEANOR,MANHATTAN,"1,000,866","226,632",40.78872124,-73.93999677
6/1/2017,13:40:00,FELONY,MANHATTAN,"1,000,414","230,243",40.7986333,-73.94162037
6/1/2017,13:50:00,FELONY,MANHATTAN,"986,324","203,257",40.7245782,-73.99251891
6/1/2017,13:55:00,FELONY,MANHATTAN,"993,034","230,522",40.7994095,-73.96827506
6/1/2017,14:00:00,MISDEMEANOR,MANHATTAN,"994,829","218,385",40.76609469,-73.96181092
6/1/2017,14:00:00,FELONY,MANHATTAN,"988,289","217,342",40.76323733,-73.98542116
6/1/2017,14:00:00,MISDEMEANOR,MANHATTAN,"989,120","205,071",40.72955609,-73.98243023
6/1/2017,14:00:00,VIOLATION,MANHATTAN,"990,148","203,914",40.72637978,-73.97872217
6/1/2017,14:10:00,FELONY,MANHATTAN,"1,002,252","247,207",40.84519113,-73.93493638
6/1/2017,14:25:00,MISDEMEANOR,MANHATTAN,"1,000,318","232,713",40.80541295,-73.94196119
6/1/2017,14:30:00,MISDEMEANOR,MANHATTAN,"983,998","207,511",40.73625463,-74.00091077
6/1/2017,14:30:00,VIOLATION,MANHATTAN,"996,551","223,272",40.779506,-73.9555855
6/1/2017,14:30:00,VIOLATION,MANHATTAN,"989,865","200,873",40.71803315,-73.97974574
6/1/2017,14:30:00,MISDEMEANOR,MANHATTAN,"997,846","237,444",40.81840238,-73.95088088
6/1/2017,14:30:00,MISDEMEANOR,MANHATTAN,"997,846","237,444",40.81840238,-73.95088088
6/1/2017,14:33:00,MISDEMEANOR,MANHATTAN,"991,952","212,459",40.7498323,-73.97220377
6/1/2017,14:40:00,FELONY,MANHATTAN,"988,886","207,857",40.7372031,-73.9832726
6/1/2017,14:50:00,MISDEMEANOR,MANHATTAN,"983,742","201,882",40.72080438,-74.0018341
6/1/2017,14:57:00,MISDEMEANOR,MANHATTAN,"984,961","200,624",40.71735146,-73.99743659
6/1/2017,15:00:00,VIOLATION,MANHATTAN,"980,158","197,813",40.70963501,-74.01476118
